epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,14072,0.34781,0.26005,1.04864,0.99353,0.99232,0.99056,0.95875,0.30807,0.20528,0.7407,0.002872,0.002872,0.002872
74,14114.9,0.35828,0.26599,1.04637,0.99185,0.99218,0.99122,0.9572,0.33073,0.21402,0.75569,0.002773,0.002773,0.002773
75,14157.7,0.35904,0.25954,1.04962,0.99416,0.99266,0.99095,0.95548,0.34313,0.22418,0.79155,0.002674,0.002674,0.002674
76,14200.6,0.3455,0.25592,1.04402,0.99331,0.99592,0.99013,0.95502,0.31948,0.2191,0.76714,0.002575,0.002575,0.002575
77,14243.4,0.34483,0.25439,1.04113,0.99397,0.99592,0.99042,0.95645,0.33901,0.22135,0.77631,0.002476,0.002476,0.002476
78,14286.3,0.34152,0.2554,1.03956,0.99541,0.99592,0.9906,0.96228,0.30373,0.204,0.75422,0.002377,0.002377,0.002377
79,14330.4,0.34186,0.2507,1.04009,0.99419,0.99572,0.99092,0.95607,0.32055,0.19508,0.75609,0.002278,0.002278,0.002278
80,14373.3,0.33153,0.25283,1.03631,0.99388,0.99592,0.99025,0.9557,0.32547,0.20318,0.76178,0.002179,0.002179,0.002179
81,14416.5,0.33646,0.24782,1.03831,0.99379,0.99592,0.99049,0.95353,0.30732,0.19657,0.75028,0.00208,0.00208,0.00208
82,14464,0.33257,0.23702,1.03849,0.99368,0.99592,0.99057,0.96611,0.30271,0.20044,0.74544,0.001981,0.001981,0.001981
83,14512.7,0.33552,0.24506,1.03514,0.99275,0.99361,0.99039,0.96592,0.30526,0.20175,0.74774,0.001882,0.001882,0.001882
84,14560.3,0.32187,0.23382,1.03002,0.99277,0.99335,0.99056,0.95951,0.31051,0.19875,0.74825,0.001783,0.001783,0.001783
85,14607.9,0.32411,0.23679,1.02847,0.99576,0.99592,0.99074,0.95889,0.31204,0.19989,0.75469,0.001684,0.001684,0.001684
86,14655.5,0.31417,0.22882,1.01929,0.99436,0.99264,0.99049,0.96247,0.31078,0.1953,0.75032,0.001585,0.001585,0.001585
87,14703.1,0.31622,0.23416,1.02225,0.9945,0.99592,0.99039,0.96351,0.30366,0.19007,0.74003,0.001486,0.001486,0.001486
88,14750.8,0.31964,0.224,1.02319,0.99336,0.99592,0.99053,0.96334,0.30126,0.18536,0.73894,0.001387,0.001387,0.001387
89,14794,0.31109,0.22112,1.02301,0.99379,0.99592,0.99077,0.96357,0.30983,0.19421,0.75004,0.001288,0.001288,0.001288
90,14837.6,0.30983,0.22162,1.01871,0.99382,0.99592,0.99053,0.9592,0.31257,0.19966,0.74943,0.001189,0.001189,0.001189
91,14892.3,0.24371,0.15441,1.03878,0.99353,0.99592,0.99036,0.95873,0.32894,0.21709,0.77559,0.00109,0.00109,0.00109
92,14934.7,0.22421,0.142,1.01133,0.99245,0.99354,0.99049,0.96405,0.30721,0.20379,0.74309,0.000991,0.000991,0.000991
93,14977.2,0.22096,0.13777,1.00764,0.99391,0.99559,0.99039,0.96264,0.30008,0.19323,0.73677,0.000892,0.000892,0.000892
94,15020.5,0.21683,0.13261,1.00133,0.99337,0.99291,0.99053,0.95944,0.3088,0.19943,0.74008,0.000793,0.000793,0.000793
95,15063.3,0.21132,0.13249,1.00085,0.99383,0.99554,0.99088,0.95853,0.31633,0.19919,0.7465,0.000694,0.000694,0.000694
96,15105.9,0.20889,0.12728,1.00324,0.99401,0.99592,0.99056,0.96403,0.30665,0.1974,0.73555,0.000595,0.000595,0.000595
97,15148.4,0.20523,0.12578,0.99569,0.99422,0.99481,0.9906,0.96359,0.30502,0.19787,0.73523,0.000496,0.000496,0.000496
98,15190.6,0.20217,0.12238,0.98999,0.99383,0.99592,0.99074,0.96509,0.29539,0.18767,0.72534,0.000397,0.000397,0.000397
99,15232.9,0.20133,0.12075,0.99569,0.99392,0.99592,0.99074,0.96483,0.29423,0.1843,0.72287,0.000298,0.000298,0.000298
100,15275,0.19843,0.1169,0.98106,0.99411,0.99592,0.99088,0.96715,0.29169,0.18267,0.71918,0.000199,0.000199,0.000199
